song,playtime,date
懒狗代,622400,2020/9/12
芸芸众生,242900,2020/11/1
世界以痛吻我,273300,2020/11/1
书院来信,546700,2020/10/24
粒子们,575900,2020/10/10
Love in my pocket,340700,2020/9/26
向前,187800,2020/10/31
反抗,421200,2020/9/19
We&nbsp;We,502300,2020/9/12
最后的晚安,269600,2020/10/24
山顶洞人与夜航船,178400,2020/10/31
飞奔向你,259800,2020/11/1
早点早点,264000,2020/9/19
听到了吗,101000,2020/10/24
画,418900,2020/8/23
What do you want,150000,2020/10/31
What is rap,126400,2020/11/1
来自世界的恶意,286100,2020/8/29
那一首歌,261399,2020/9/26
未接来电,146700,2020/10/3
写给说唱新世代参赛选手的一封挑战书,124700,2020/10/10
给说唱新世代参赛选手的一封建议信,148100,2020/11/1
来自世界的恶意,286100,2020/8/29
我不想死在20岁,292700,2020/9/26
听到了吗,101000,2020/10/24
Real Life,243400,2020/8/29
放肆爱,277900,2020/9/26
成功的布鲁斯一夜,139400,2020/10/24
风,148500,2020/10/3
What is rap,126400,2020/11/1
生命诗,107300,2020/11/1
就算你活在二次元,266000,2020/8/29
Love Paradise,343700,2020/8/23
奶奶,72000,2020/11/1
凯瑟琳,136600,2020/10/3
凹造型,264300,2020/9/19
那一首歌,261399,2020/9/26
New Generation,138400,2020/11/1
Mirror,192200,2020/9/26
那奇沃夫,196200,2020/10/24
美杜莎庄园,168700,2020/11/1
亚洲小子,72500,2020/10/24
雨夜惊魂,228300,2020/8/23
叫爸爸,254000,2020/8/29
返老还童,122300,2020/11/1
把闹钟关了,179100,2020/9/19
等你长大,78400,2020/10/24
人间普通指南,248100,2020/9/12
她和她和她,583000,2020/8/23
掌斗剑,228800,2020/10/10
我是我最后的目击者,141700,2020/10/24
Mom pray for me,206800,2020/10/3
Not my wrong,210700,2020/9/26
如果没有你2020,287100,2020/9/12
We gonna be alright,145000,2020/9/19
流浪,110800,2020/10/31
反路,175600,2020/9/26
你问我一年四季哪个最孤独,160700,2020/9/19
拖延症,157200,2020/9/26
Lonely lie,100300,2020/10/10
起舞的卡西莫多,160600,2020/9/19
鲁邦三世,142200,2020/10/3
新浪漫主义,85000,2020/11/1
那一天，我们互换了身体,74800,2020/10/31
一块胶布,110800,2020/9/19
Love Yours,110300,2020/10/24
Go psycho,173300,2020/9/26
坏哥哥,185200,2020/9/26
敌意,147400,2020/10/3
K.M.N,152300,2020/8/23
枕头里的梦,77000,2020/11/1
丁丁猫儿,122500,2020/10/3
二十年之后咯,100300,2020/10/3
三天可见,77700,2020/10/24
快马加鞭,124000,2020/10/24
Ring Ring,127500,2020/10/31
飞鸟,338200,2020/9/12
都是我,86800,2020/11/1
当他消失的那天,106200,2020/10/17
把我最爱的文字读给你听,82200,2020/11/1
奥利奥少年,195000,2020/8/23
在路上,96700,2020/10/24
Hometown,99600,2020/10/3
年少的你可曾想过,136700,2020/10/24
Harbour,187400,2020/10/3
Old mountain road,145600,2020/9/26
而立,743300,2020/8/23
有个霸王,223200,2020/9/12
与众不同,135700,2020/9/26
小兔子乖乖,224200,2020/8/23
倚老卖老,123100,2020/10/24
做个哑巴,187700,2020/9/19
Hey&nbsp;U,179600,2020/9/12
老刘,142000,2020/10/3
逃离这个星球,78500,2020/10/10
交代,65500,2020/10/24
拿起放下,63500,2020/10/31
猴子,80300,2020/9/26
Get The Power,73900,2020/10/10
Superfly Producer Life,63500,2020/10/24
规律人生,61900,2020/10/24
HALO！,72000,2020/10/10
山城男人,73900,2020/10/3
FIGHT！,53600,2020/10/31
